310,349
333,349
348,345
330,340
311,340
340,221
309,223
351,299
309,302
11434,11,78,8,78,14,78
11435,35,89,31,89,39,89
11436,60,103,57,103,64,103
11437,85,118,82,118,88,118
11438,110,132,106,132,113,132
11439,135,148,131,148,138,148
11440,160,166,156,166,163,166
11441,184,185,180,185,188,185
11442,210,204,206,204,213,204
11443,235,224,231,224,239,224
11444,260,245,256,245,263,245
11445,285,267,281,267,288,267
11446,309,290,305,290,313,290
11447,333,314,329,314,337,314
11448,357,332,353,332,360,332
11449,373,319,369,319,376,319
