310,349
333,349
348,345
330,340
311,340
340,221
309,223
351,299
309,302
12090,14,98,9,98,18,98
12091,42,111,37,111,46,111
12092,70,125,66,125,74,125
12093,100,142,95,142,104,142
12094,128,158,123,158,132,158
12095,158,178,153,178,162,178
12096,187,198,183,198,192,198
12097,217,219,212,219,221,219
12098,247,241,242,241,251,241
12099,277,264,272,264,281,264
12100,305,288,301,288,310,288
12101,335,313,331,313,339,313
12102,365,340,360,340,369,340
12103,383,325,379,325,388,325
12104,401,311,396,311,405,311
